Task Name,Section/Column,Task Description,Assignee,Owner Role,Priority,Effort,Milestone,Due Date,Tags,Dependencies
Confirm product scope for prototype handoff,00 Intake,"Review current prototype scope, decide what remains mock-only, and define what must become real for alpha.",,Product,P0,S,Prototype,2026-05-29,"scope,planning",
Create release glossary for Members vs Students,00 Intake,"Document user-facing naming rules so future work keeps Members as the product label and Students as legacy redirects only.",,Product,P1,S,Prototype,2026-05-29,"copy,domain",
Audit existing routes against product navigation,00 Intake,"Check AppShell navigation, top-right profile placement, dev-only UI Lab, and route redirects against the project rules.",,Frontend,P1,S,Prototype,2026-06-01,"navigation,frontend",
Define alpha acceptance checklist,00 Intake,"Create a short checklist covering auth, persistence, club access, core screens, responsive states, and verification commands.",,Product,P0,M,Alpha,2026-06-03,"planning,release",
Polish dashboard command center,01 Prototype Polish,"Review dashboard cards, academy updates, and admin overview for semantic tokens, responsive spacing, and mock-data consistency.",,Frontend,P1,M,Prototype,2026-06-05,"dashboard,ui",
Verify light and dark theme coverage,01 Prototype Polish,"Scan product UI for hardcoded colors and replace new surfaces with semantic CSS variables where needed.",,Frontend,P1,M,Prototype,2026-06-08,"theme,ui",
Finish responsive pass on AppShell,01 Prototype Polish,"Validate sidebar, header profile action, mobile navigation, and page transitions across common viewport sizes.",,Frontend,P1,M,Prototype,2026-06-10,"navigation,responsive",
Tighten Members grid interaction states,01 Prototype Polish,"Verify role column, total hours, hierarchy sort, drawer launch, and add-member flow in the AG Grid surface.",,Frontend,P1,M,Prototype,2026-06-12,"members,ag-grid",
Tighten Schedule grid and calendar states,01 Prototype Polish,"Review week navigation, create-class form, grid row heights, and calendar picker without adding capacity or fill indicators.",,Frontend,P1,M,Prototype,2026-06-15,"schedule,ag-grid",
Tighten Rankings filters and ordering,01 Prototype Polish,"Confirm rankings sort by points descending, belt filter behavior, and AG Grid theme consistency.",,Frontend,P2,S,Prototype,2026-06-16,"rankings,ag-grid",
Create empty and loading state inventory,01 Prototype Polish,"List each product route and confirm it has sensible loading, error, and empty states for alpha.",,Design,P2,M,Alpha,2026-06-17,"ux,states",
Implement real session contract,02 Backend & Auth,"Replace mock session behavior with a documented server contract for login, logout, register, and current user lookup.",,Backend,P0,L,Alpha,2026-06-19,"auth,api",
Wire Supabase auth user to app_users,02 Backend & Auth,"Ensure auth.users records map to app_users and that new registrations create the required profile data.",,Backend,P0,L,Alpha,2026-06-22,"auth,supabase",
Validate RLS policies with role scenarios,02 Backend & Auth,"Test owner, admin, coach, member, and no-membership paths against clubs, memberships, classes, and Strava connections.",,Backend,P0,L,Alpha,2026-06-24,"rls,supabase",
Add persistence for members,02 Backend & Auth,"Move member profile and member list data from mock seeds toward Supabase-backed tables or a documented API boundary.",,Backend,P0,L,Alpha,2026-06-26,"members,database",
Add persistence for dashboard metrics,02 Backend & Auth,"Define how dashboard stats, updates, and recent activity are calculated once mock data is replaced.",,Backend,P1,M,Alpha,2026-06-29,"dashboard,database",
Add API error handling standard,02 Backend & Auth,"Standardize API route responses, fallback behavior, validation failures, and client-facing error messages.",,Backend,P1,M,Alpha,2026-07-01,"api,errors",
Harden club selection flow,03 Club Operations,"Verify empty, single-club, and multi-club membership paths from /clubs into the academy workspace.",,Frontend,P0,M,Alpha,2026-07-03,"clubs,workspace",
Define workspace selection persistence,03 Club Operations,"Decide where selected club/workspace state lives and how it survives refreshes and session changes.",,Backend,P0,M,Alpha,2026-07-06,"clubs,auth",
Implement invite lifecycle,03 Club Operations,"Turn invite-user form and invite API into a real flow with pending invites, accepted invites, and role assignment.",,Backend,P1,L,Beta,2026-07-08,"invites,roles",
Add role management guardrails,03 Club Operations,"Ensure admin role templates, assigned users, and class operations are protected by owner/admin permissions.",,Backend,P0,M,Alpha,2026-07-10,"roles,security",
Add audit trail concept for admin actions,03 Club Operations,"Define minimal audit events for role changes, class changes, invites, and member edits.",,Product,P2,M,Beta,2026-07-13,"audit,admin",
Design member profile alpha scope,04 Member Experience,"Decide which profile fields are editable, computed, private, or coach-only for the first real release.",,Product,P0,M,Alpha,2026-07-15,"members,profile",
Persist add-member flow,04 Member Experience,"Connect the add-member drawer flow to a validated API and database write path.",,Backend,P0,L,Alpha,2026-07-17,"members,api",
Add coach notes permissions,04 Member Experience,"Ensure coach notes are visible and editable only by allowed roles and scoped to the selected club.",,Backend,P1,M,Beta,2026-07-20,"coach-notes,roles",
Define promotion workflow,04 Member Experience,"Turn promotion recommendations into a simple state model with draft, reviewed, approved, and archived states.",,Product,P2,M,Beta,2026-07-22,"promotions,members",
Persist training feed posts,05 Training & Content,"Connect create-training-post form and feed route to a real storage model with author, club, body, and timestamps.",,Backend,P1,L,Alpha,2026-07-24,"training-feed,api",
Define media handling for feed posts,05 Training & Content,"Decide whether alpha supports images or text-only posts, and document storage and moderation implications.",,Product,P2,S,Beta,2026-07-27,"training-feed,media",
Persist competitions data,05 Training & Content,"Move competitions route from mock data toward an API-backed model while preserving the current UI surface.",,Backend,P2,M,Beta,2026-07-29,"competitions,api",
Persist training camps data,05 Training & Content,"Move training camps route from mock data toward an API-backed model while preserving the current UI surface.",,Backend,P2,M,Beta,2026-07-31,"training-camps,api",
Complete Strava OAuth production checklist,06 Integrations,"Verify redirect URI, env vars, token persistence, refresh behavior, scopes, and user-facing connected/error states.",,Backend,P0,L,Alpha,2026-08-03,"strava,oauth",
Add Strava disconnect flow,06 Integrations,"Create a safe way for users to remove a Strava connection and clear stored tokens.",,Backend,P1,M,Beta,2026-08-05,"strava,privacy",
Define activity sync model,06 Integrations,"Decide what Strava activities become inside Grapply and how they affect member profile, feed, or rankings.",,Product,P2,M,Beta,2026-08-07,"strava,product",
Run full typecheck before alpha,07 QA & Release,"Run TypeScript typecheck and fix blocking issues before alpha handoff.",,QA,P0,M,Alpha,2026-08-10,"qa,typecheck",
Run production build before alpha,07 QA & Release,"Run production build and document any framework, lint, or runtime warnings that remain.",,QA,P0,M,Alpha,2026-08-11,"qa,build",
Create manual QA script for core flows,07 QA & Release,"Write a repeatable manual test covering login shell, clubs, dashboard, members, schedule, rankings, admin, settings, and TV.",,QA,P1,M,Alpha,2026-08-12,"qa,manual",
Check responsive and theme QA,07 QA & Release,"Verify core screens in light and dark mode across desktop and mobile widths.",,QA,P1,M,Alpha,2026-08-13,"qa,responsive",
Prepare launch readiness notes,07 QA & Release,"Summarize what is real, what remains mock, known risks, environment variables, and migration steps.",,Product,P0,M,Launch,2026-08-14,"release,docs",
